age,total,male,female
Under 1 year,40355,20760,19580
1,41730,21350,20350
2,42685,21865,20845
3,45020,23040,22045
4,47025,23990,23000
5,47800,24655,23205
6,48375,24920,23480
7,48655,25050,23640
8,49840,25630,24165
9,49550,25640,23980
10,49925,25720,24215
11,51170,26415,24705
12,52165,27180,24925
13,51885,26720,25155
14,50645,26325,24395
15,50070,25935,24105
16,50695,26075,24575
17,50980,26465,24495
18,50590,26225,24350
19,51390,26590,24835
20,55690,28670,27025
21,57635,29580,28025
22,58300,29925,28315
23,60360,30790,29465
24,62745,32475,30270
25,65510,33360,32095
26,66150,33855,32190
27,66800,33760,32965
28,68565,34510,34105
29,70185,35005,35145
30,72705,36555,36115
31,73310,36615,36705
32,71855,35985,35935
33,70360,34875,35475
34,70325,34890,35360
35,71445,35720,35775
36,71835,35915,35935
37,70350,34805,35580
38,70245,34745,35480
39,69400,34015,35330
40,67580,33290,34255
41,65465,31975,33520
42,63670,31185,32520
43,61655,30150,31550
44,61320,29905,31395
45,61550,29695,31830
46,62005,29980,32030
47,61405,29410,32010
48,61815,29770,32100
49,63185,30640,32550
50,67740,32615,35040
51,67335,32480,34840
52,66565,31880,34635
53,64170,30950,33315
54,63195,30630,32515
55,66165,32020,34240
56,70365,34065,36285
57,73770,35710,38115
58,74760,36460,38280
59,71225,34330,36940
60,72790,34925,37755
61,72245,34480,37710
62,70175,33515,36635
63,71025,34230,36855
64,68980,33020,35910
65,68085,32655,35365
66,66910,31805,35100
67,63850,30280,33530
68,61590,29615,32015
69,58950,28250,30685
70,57160,27405,29715
71,56500,27015,29455
72,53745,25700,28020
73,53285,25615,27640
74,51710,24630,27085
75,40445,19200,21180
76,38305,18340,19975
77,37105,17745,19465
78,34410,16365,18045
79,30730,14465,16270
80,29110,13465,15655
81,25835,12020,13725
82,23955,10975,12995
83,22120,9920,12195
84,20065,8905,11230
85,18540,8320,10205
86,16265,7180,9155
87,14570,6355,8135
88,13190,5550,7610
89,11800,4900,6945
90,10740,4295,6455
91,8720,3225,5410
92,6960,2565,4415
93,5730,1980,3755
94,4730,1545,3155
95,3480,1135,2345
96,2385,680,1665
97,1715,470,1235
98,1215,280,915
99,905,175,660
100 years and over,1545,250,1135
